Numero esterno;Abbreviazione;Denominazione;Coordinata x;Coordinata y;Coordinate-Z;Pensilina autobus;Fermata di salita;Fermata di discesa;Accessibile ai disabili;Punto di cambio;Cambio direzione obbligatorio;Non controllato;Ambito d'esercizio;Gruppo tipol. veicolo;Comune;Codice del comune;Proprietario;Via;Numero civico;Tipologia fermate;Abbreviazione area di fermata;Denominazione area di fermata;Abbreviazione punto di prevendita;Denominazione punto di prevendita;Testo punti di prevendita;Abbreviazione informazioni aggiuntive;Denominazione informazioni aggiuntive;Abbreviazione area tariffaria;Denominazione area tariffaria;Codice tariffario;Tipo Pensilina;Piazzola;Di Servizio;Tipo Palina;fTariffario;fOrario
9719;9719;Terlano  Weinstube - Terlan  Weinstube;1671647,103;5156906,86;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;WEINST;(Terlano) Weinstube - (Terlan) Weinstube;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2411
972;972;Cermes 5 - Tscherms 5;1664451,25;5165776,1;;;X;X;;;;X;BUS;S;Cermes - Tscherms;39021020;;;;;CERME5;(Cermes) Cermes 5 - (Tscherms) Tscherms 5;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
9720;9720;Terlano  Weinstube - Terlan  Weinstube;1671639,943;5157057,926;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;WEINST;(Terlano) Weinstube - (Terlan) Weinstube;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2358
9721;9721;Vilpiano Schlemmer - Vilpian Schlemmer;1670949,275;5157811,792;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;SCHLEM;(Terlano) Vilpiano Schlemmer - (Terlan) Vilpian Schlemmer;;;;;;1;Tutto;1;Schutzdach neu;RUECKFAHRT;1;0;0;2410
9722;9722;Vilpiano Schlemmer - Vilpian Schlemmer;1670941,193;5157821,193;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;SCHLEM;(Terlano) Vilpiano Schlemmer - (Terlan) Vilpian Schlemmer;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2359
9723;9723;Zona sportiva - Sportzone;1670518,977;5158165,245;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;VILPZ;(Terlano) Vilpiano Z. sportiva - (Terlan) Vilpian Sportzone;;;;;;1;Tutto;1;Schutzdach neu;HINFAHRT;1;0;0;2409
9724;9724;Zona sportiva - Sportzone;1670477,84;5158230,08;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;VILP Z;(Terlano) Vilpiano Z. sportiva - (Terlan) Vilpian Sportzone;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2360
9725;9725;Vilpiano - Vilpian;1670453,034;5158655,569;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;VILPIA;(Terlano) Vilpiano - (Terlan) Vilpian;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2371
9726;9726;Vilpiano - Vilpian;1670472,586;5158846,043;;;X;X;;X;;X;BUS;S;Terlano - Terlan;39021097;;;;;VILPIA;(Terlano) Vilpiano - (Terlan) Vilpian;;;;;;1;Tutto;1;Schutzdach neu;HINFAHRT;1;0;0;2408
9727;9727;Funivia Meltina - Seilbahn Moelten;1670500,813;5159038,075;;;X;X;;X;;X;BUS;S;Terlano - Terlan;39021097;;;;;FVILP;(Terlano) Fun. Meltina-(Terlan) Seilb. Moelten;;;;;;1;Tutto;1;Schutzdach neu;RUECKFAHRT;1;0;0;2372
9729;9729;vicolo al Monte - Bergstr.;1669934,225;5159997,271;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;MONTE;(Terlano) vic. al Monte - (Terlan) Bergstr.;;;;;;1;Tutto;1;Schutzdach alt;HINFAHRT;1;0;0;2407
9730;9730;vicolo al Monte - Bergstr.;1669937,501;5159999,426;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;MONTE;(Terlano) vic. al Monte - (Terlan) Bergstr.;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2373
9731;9731;Postal Winkelau - Burgstall Winkelau;1668561,025;5162734,821;;;X;X;;;;X;BUS;S;Postal - Burgstall;39021066;;;;;WINKEL;(Postal) Winkelau - (Burgstall) Winkelau;;;;;;1;Tutto;1;Schutzdach alt;HINFAHRT;1;0;0;2403
9732;9732;Postal Winkelau - Burgstall Winkelau;1668568,429;5162724,509;;;X;X;;;;X;BUS;S;Postal - Burgstall;39021066;;;;;WINKEL;(Postal) Winkelau - (Burgstall) Winkelau;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2376
9733;9733;Settequerce Zona Artig. - Siebeneich HW Zone;1674098,41;5153713,901;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;SETTZA;(Terlano) Settequerce z.art.-(Terlan)Siebeneich Handwerkerz.;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2414
9734;9734;Settequerce Zona Artig. - Siebeneich HW Zone;1674177;5153673;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;SETTZA;(Terlano) Settequerce z.art.-(Terlan)Siebeneich Handwerkerz.;;;;;;1;Tutto;1;Schutzdach neu;HINFAHRT;1;0;0;2785
9741;9741;Andriano  p.zza.S.Urbano - Andrian  St.Urban Platz;1671331,58;5154128,532;;;X;X;;X;;X;BUS;S;Andriano - Andrian;39021002;;;;;ANDRIA;(Andriano) pizza S.Urbano - (Andrian) St.Urban Platz;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2355
9743;9743;Zum Hirschen -  Zum Hirschen;1670207,946;5158265,611;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;HIRSCH;(Terlano) Vilpiano Zum Hirschen - Vilpian Zum Hirschen;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2370
9744;9744;Zum Hirschen - Zum Hirschen;1670272,2;5158355,33;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;HIRSCH;(Terlano) Vilpiano Zum Hirschen - Vilpian Zum Hirschen;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
9745;9745;Nalles Lichtenburg - Nals Lichtenburg;1669363,128;5157273,283;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;LICHTE;(Nalles) Lichtenburg - (Nals) Lichtenburg;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2369
9746;9746;Nalles Lichtenburg - Nals Lichtenburg;1669356,723;5157269,061;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;LICHTE;(Nalles) Lichtenburg - (Nals) Lichtenburg;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2362
9747;9747;Nalles parcheggio pompieri - Nals Feuerwehr Parkplatz;1669160,079;5156815,236;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;POMPIE;(Nalles) Pompieri - (Nals) Feuerwehr;;;;;;1;Tutto;1;Schutzdach alt;HINFAHRT;1;0;0;2363
9752;9752;Tirolo Paese 2 - Dorf Tirol 2;1664977,114;5172706,02;;;X;X;;;;X;BUS;S;Tirolo - Tirol;39021101;;;;;TIROL2;(Tirolo) Paese 2 - (Tirol) Dorf 2;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2621
9753;9753;via Aslago 2 - Haslachstr. 2;1664740,403;5173519,533;;;X;X;;;;X;BUS;S;Tirolo - Tirol;39021101;;;;;ASLAG2;(Tirolo) via Aslago 2 - (Tirol) Haslachstr. 2;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2640
9754;9754;Funivia Muta - Seilbahn Hochmut;1664624,222;5173712,021;;;X;X;;;;X;BUS;S;Tirolo - Tirol;39021101;;;;;FMUTA;(Tirolo) Funivia Tirolo-Muta - (Tirol) Seilb. Tirol-Hochmut;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2633
9755;9755;via Aslago 3 - Haslachstr. 3;1664586,212;5173859,706;;;X;X;;;;X;BUS;S;Tirolo - Tirol;39021101;;;;;ASLAG3;(Tirolo) via Aslago 3 - (Tirol) Haslachstr. 3;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2638
9756;9756;via Aslago 4 - Haslachstr. 4;1664711,657;5174118,867;;;X;X;;;;X;BUS;S;Tirolo - Tirol;39021101;;;;;ASLAG4;(Tirolo) via Aslago 4 - (Tirol) Haslachstr. 4;;;;;;1;Tutto;1;Sitzbank;HINFAHRT;1;0;0;2635
9761;9761;via Verano - Voeranstr.;1669753,401;5167007,513;;;X;X;;;;X;BUS;S;Avelengo - Hafling;39021005;;;;;V VERA;(Avelengo) via Verano - (Hafling) Voeranstr.;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2679
9762;9762;via Verano - Voeranstr.;1669746,909;5167014,339;;;X;X;;;;X;BUS;S;Avelengo - Hafling;39021005;;;;;V VERA;(Avelengo) via Verano - (Hafling) Voeranstr.;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2669
9763;9763;Hinterkofel 1 - Hinterkofel 1;1669186,914;5166000,399;;;X;X;;;;X;BUS;S;Avelengo - Hafling;39021005;;;;;HINTE1;(Avlengo) Hinterkofel 1 - (Hafling) Hinterkofel 1;;;;;;1;Tutto;1;Sitzbank;RUECKFAHRT;1;0;0;2678
9764;9764;Hinterkofel 1 - Hinterkofel 1;1669173,897;5165986,159;;;X;X;;;;X;BUS;S;Avelengo - Hafling;39021005;;;;;HINTE1;(Avlengo) Hinterkofel 1 - (Hafling) Hinterkofel 1;;;;;;1;Tutto;1;Sitzbank;HINFAHRT;1;0;0;2670
9765;9765;Hinterkofel 2 - Hinterkofel 2;1670079,283;5164776,446;;;X;X;;;;X;BUS;S;Avelengo - Hafling;39021005;;;;;HINTE2;(Verano) Hinterkofel 2 - (Voeran) Hinterkofel 2;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2677
9766;9766;Hinterkofel 2 - Hinterkofel 2;1670089,296;5164795,4;;;X;X;;;;X;BUS;S;Avelengo - Hafling;39021005;;;;;HINTE2;(Verano) Hinterkofel 2 - (Voeran) Hinterkofel 2;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2671
9767;9767;Verano  Paese 1 - Voeran Dorf 1;1670589,86;5163781,04;;;X;X;;;;X;BUS;S;Verano - Voeran;39021112;;;;;VERAN1;(Verano) Paese 1 - (Voeran) Dorf 2;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2676
9768;9768;Verano  Paese 1 - Voeran Dorf 1;1670534,766;5163808,023;;;X;X;;;;X;BUS;S;Verano - Voeran;39021112;;;;;VERAN1;(Verano) Paese 1 - (Voeran) Dorf 2;;;;;;1;Tutto;1;Sitzbank;HINFAHRT;1;0;0;2672
9769;9769;Verano  Paese 2 - Voeran Dorf 2;1671030,83;5163619,794;;;X;X;;;;X;BUS;S;Verano - Voeran;39021112;;;;;VERAN2;(Verano) Paese 2 - (Voeran) Dorf 2;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2675
977;977;via S. Valentino 1 - St. Valentin Str. 1;1667014,61;5169759;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;VALEN1;(Merano) via S. Valentino 1 - (Meran) St. Valentin Str. 1;;;;;;1;Tutto;1;Dach neu;RUCKFAHRT;1;0;0;14
9770;9770;Verano  Paese 2 - Voeran Dorf 2;1670971,724;5163604,858;;;X;X;;X;;X;BUS;S;Verano - Voeran;39021112;;;;;VERAN2;(Verano) Paese 2 - (Voeran) Dorf 2;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2673
9771;9771;Gruener Baum - Gruener Baum;1671512,534;5164079,31;;;X;X;;X;;X;BUS;S;Verano - Voeran;39021112;;;;;GBAUM;(Verano) Gruener Baum - (Voeran) Gruener Baum;;;;;;1;Tutto;1;Schutzdach alt;HINFAHRT;1;0;0;2674
9773;9773;via Labers 2 - Laberserstr. 2;1668571,962;5169862,5;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;LABER2;(Merano) via Labers 2 - (Meran) Laberserstr. 2;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2682
9774;9774;via Labers 2 - Laberserstr. 2;1668574,111;5169902,645;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;LABER2;(Merano) via Labers 2 - (Meran) Laberserstr. 2;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2649
9775;9775;Bivio Falzeben - Abzw. Falzeben;1669838,669;5168509,355;;;X;X;;;;X;BUS;S;Avelengo - Hafling;39021005;;;;;B FALZ;(Avelengo) Bivio Falzeben - (Hafling) Abzw. Falzeben;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2651
9776;9776;Hinterkofel 3 - Hinterkofel 3;1670505,39;5165083,84;;;X;X;;;;X;BUS;S;Verano - Voeran;39021112;;;;;HINTE3;(Verano) Hinterkofel 3 - (Voeran) Hinterkofel 3;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2721
9777;9777;Hinterkofel 3 - Hinterkofel 3;1670524,5;5165068,59;;;X;X;;;;X;BUS;S;Verano - Voeran;39021112;;;;;HINTE3;(Verano) Hinterkofel 3 - (Voeran) Hinterkofel 3;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2723
99;99;Tel 2 - Toell 2;1659735,727;5171626,623;;;X;X;;;;X;BUS;S;Parcines - Partschins;39021062;;;;;TEL 2;(Parcines) Tel 2 - (Partschins) Toell 2;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2597
