Numero esterno;Abbreviazione;Denominazione;Coordinata x;Coordinata y;Coordinate-Z;Pensilina autobus;Fermata di salita;Fermata di discesa;Accessibile ai disabili;Punto di cambio;Cambio direzione obbligatorio;Non controllato;Ambito d'esercizio;Gruppo tipol. veicolo;Comune;Codice del comune;Proprietario;Via;Numero civico;Tipologia fermate;Abbreviazione area di fermata;Denominazione area di fermata;Abbreviazione punto di prevendita;Denominazione punto di prevendita;Testo punti di prevendita;Abbreviazione informazioni aggiuntive;Denominazione informazioni aggiuntive;Abbreviazione area tariffaria;Denominazione area tariffaria;Codice tariffario;Tipo Pensilina;Piazzola;Di Servizio;Tipo Palina;fTariffario;fOrario
1;1;Merano stazione - Meran Bahnhof;1664463,74;5171093,95;;;X;X;;X;X;X;BUS;S;Merano - Meran;39021051;;;;;STAZ;(Merano) Stazione - (Meran) Bahnhof;;;;;;1;Tutto;1;Sitzbank;HINFAHRT;2;0;0;2427
100;100;via Weingartner 1 - Weingartnerstr. 1;1662685,006;5171732,599;;;X;X;;X;;X;BUS;S;Lagundo - Algund;39021038;;;;;WEING1;(Lagundo) via Weingartner 1 - (Algund) Weingartnerstr. 1;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2606
1000;1000;Bolzano Autostazione - Bozen AutBhf;1680843,222;5151884,473;;;X;X;;X;;X;BUS;S;Bolzano - Bozen;39021008;;;;;AUTOST;(Bolzano) Autostazione - (Bozen) Autobusbahnhof;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2347
1000001;1000001;via San Francesco - St. Franziskus Str.;1664806,01;5171554,3;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;;;;;;;;1;Tutto;1;Sitzbank;RUECKFAHRT;1;0;0;2748
1000002;1000002;via Petrarca 2 - Petrarca Str. 2;1664933,35;5170432,56;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;PETRA2;(Merano) via Petrarca 2 - (Meran) Petrarca Str. 2;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2491
1000004;1000004;via Pietralba 2 - Weissensteiner Str. 2;1679684,4;5144123,36;;;X;X;;X;;X;BUS;S;Laives - Leifers;39021040;;;;;;;;;;;;1;Tutto;1;;RUECKFAHRT;;;;
100003;100003;via Pietralba 1 - Weissensteiner Str. 1;1679684,4;5144123,36;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;;;;;;;;1;Tutto;1;;RUECKFAHRT;;0;0;
100007;100007;via Fago 2 - Fagen Str. 2;1679739,61;5153181,14;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;10137;(Bolzano) via Fago 2 - (Bozen) Fagen Str. 2;;;;;;;;;;;;;;
100008;100008;via Fago 1 - Fagen Str. 1;1679944,07;5153234,07;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;FAGO1;(Bolzano) via Fago 1 - (Bozen) Fagen Str. 1;;;;;;;;;;;;;;
100010;100010;Prato Isarco - Blumau;1687795,75;5151998,26;;;X;X;;;;X;BUS;S;Cornedo all`Isarco - Karneid;39021023;SAD;;;;;;;;;;;1;Tutto;1;;;;;;
100011;100011;via Galizia 1 - Galizien Str. 1;1679790,73;5144340,84;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;;;;;;;;1;Tutto;1;;;;;;
100012;100012;via dei Vanga - Wangergasse;1680410,21;5152483,9;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;VANGA;(Bolzano) via dei Vanga - (Bozen) Wangergasse;;;;;;;;;;;;;;
100013;100013;via Talvera - Talfergasse;1680244,83;5152353,59;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;TALVER;(Bolzano) via Talvera - (Bozen) Talfergasse;;;;;;;;;;;;;;
100014;100014;via Castel Roncolo 2 - Runkelsteinerstr. 2;1680653,16;5152485,11;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;RONCO2;(Bolzano) via Castel Roncolo 2 - (Bozen) Runkelsteinstr.2;;;;;;;;;;;;;;
100015;100015;via Vintler - Vintler Str.;1680740,69;5152450,34;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;VINTLE;(Bolzano) via Vintler - (Bozen) Vintler Str.;;;;;;;;;;;;;;
100016;100016;via Castel Roncolo 1 - Runkelsteinerstr. 1;1680576,81;5152916,87;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;RONCO1;(Bolzano) via Castel Roncolo 1 - (Bozen) Runkelsteinstr.1;;;;;;;;;;;;;;
100017;100017;via Beato Arrigo 1 - Selig Heinrich Str. 1;1680619,13;5153017,25;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;ARRIG1;(Bolzano) via Beato Arrigo 2 - (Bozen) Selig Heinrich Str. 2;;;;;;;;;;;;;;
100018;100018;via dei Vanga - Wangergasse;1680479,75;5152444,59;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;VANGA;(Bolzano) via dei Vanga - (Bozen) Wangergasse;;;;;;;;;;;;;;
100019;100019;via Weggenstein 1 - Weggenstein Str. 1 non esiste;1680870,09;5152531,06;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;WEGGE1;(Bolzano) via Weggenstein 1 - (Bozen) Weggenstein Str. 1;;;;;;;;;;;;;;
10002;10002;via Hofer 2 - Hofer Str. 2;1679427,63;5144338,5;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;;;;;;;;1;Tutto;1;steher;HINFAHRT;1;0;0;
100020;100020;via Lancia 1 - Lanciastr. 1;1679453,4;5150779,02;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;;;;;;;;;;;;;;;;
10008;10008;Cardano zona Art. 1 - Kardaun Handwerkerz. 1;1684144,56;5151549,84;;;X;X;;;;X;BUS;S;Cornedo all`Isarco - Karneid;39021023;;;;;;;;;;;;1;Tutto;1;;;;;;2860
10022;10022;Postal Fun. Verano - Burgstall Seilb. Voeran;1668478,96;5163160,97;;;X;X;;;;X;BUS;S;Postal - Burgstall;39021066;;;;;;;;;;;;1;Tutto;1;;HINFAHRT;;;;
101;101;via Goethe 4 - Goethe Str. 4;1664181,62;5171582,226;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;GOET4;(Merano) via Goethe 4 - (Meran) Goethe Str. 4;;;;;;1;Tutto;1;Sitzbank;HINFAHRT;1;0;0;2610
10849;10849;Terlano Stazione - Terlan Bahnhof;1672523,27;5155236,9;;;X;X;;X;;X;BUS;S;Terlano - Terlan;39021097;;;;;STAZ T;(Terlano) Stazione - (Terlan) Bahnhof;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2353
1090;1090;via Pacinotti 1 - Pacinotti Str. 1;1679024,564;5150495,008;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;10159;(Bolzano) via Pacinotti 1 - (Bozen) Pacinotti Str. 1;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2141
1091;1091;via Volta 3 - Volta Str. 3;1678896,087;5150017,035;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;10172;(Bolzano) via Volta 3 - (Bozen) Volta Str. 3;;;;;;1;Tutto;1;Schutzdach neu;HINFAHRT;1;0;0;480
1092;1092;Cimitero 1 - Friedhof 1;1679462,243;5149555,225;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;10004;(Bolzano) Cimitero 1 - (Bozen) Friedhof 1;;;;;;1;Tutto;1;Schutzdach neu;HINFAHRT;1;0;0;2231
1093;1093;Cimitero 1 - Friedhof 1;1679475,694;5149582,94;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;10004;(Bolzano) Cimitero 1 - (Bozen) Friedhof 1;;;;;;1;Tutto;1;Schutzdach neu;HINFAHRT;1;0;1;2253
1094;1094;via Maso della Pieve 2 - Pfarrhof Str. 2;1679258,302;5148700,209;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;10005;(Bolzano) via Maso della Pieve 2 - (Bozen) Pfarrhof Str. 2;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2234
1095;1095;via Maso della Pieve 2 - Pfarrhof Str. 2;1679257,694;5148666,695;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;10005;(Bolzano) via Maso della Pieve 2 - (Bozen) Pfarrhof Str. 2;;;;;;1;Tutto;1;Schutzdach neu;RUECKFAHRT;1;0;0;2249
1096;1096;via S. Giacomo 1 - St. Jakob Str. 1;1679186,47;5148142,21;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;10006;(Bolzano) via S. Giacomo 1 - (Bozen) St. Jakob Str. 1;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;438
1097;1097;via S. Giacomo 1 - St. Jakob Str. 1;1679203,27;5148100,82;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;10006;(Bolzano) via S. Giacomo 1 - (Bozen) St. Jakob Str. 1;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2345
1098;1098;via S. Giacomo 3 - St. Jakob Str. 3;1679169,35;5147886,37;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;11003;(Laives) via S. Giacomo 3 - (Leifers) St. Jakob Str. 3;;;;;;1;Tutto;1;Schutzdach neu;HINFAHRT;1;0;1;2793
1099;1099;via S. Giacomo 3 - St. Jakob Str. 3;1679186,579;5147904,176;;;X;X;;X;;X;BUS;S;Laives - Leifers;39021040;;;;;11003;(Laives) via S. Giacomo 3 - (Leifers) St. Jakob Str. 3;;;;;;1;Tutto;1;Schutzdach neu;RUECKFAHRT;1;0;0;2344
1100;1100;via S. Giacomo 5 - St. Jakob Str. 5;1679393,526;5146999,433;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;11004;(Laives) via S. Giacomo 5 - (Leifers) St. Jakob Str. 5;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2281
1101;1101;via S. Giacomo 5 - St. Jakob Str. 5;1679391,4;5147034,109;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;11004;(Laives) via S. Giacomo 5 - (Leifers) St. Jakob Str. 5;;;;;;1;Tutto;1;Schutzdach neu;RUECKFAHRT;1;0;1;2342
1102;1102;Pineta - Steinmannwald;1680162,932;5145422,228;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;11005;(Laives) Pineta - (Leifers) Steinmannwald;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2286
1103;1103;Pineta - Steinmannwald;1680207,319;5145342,295;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;11005;(Laives) Pineta - (Leifers) Steinmannwald;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2321
1104;1104;via Kennedy 1 - Kennedy Str. 1;1680135,707;5144467,715;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;11006;(Laives) via Kennedy 1 - (Leifers) Kennedy Str. 1;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2338
1105;1105;via Kennedy 1 - Kennedy Str. 1;1680050,843;5144424,39;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;11006;(Laives) via Kennedy 1 - (Leifers) Kennedy Str. 1;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2287
1106;1106;via Kennedy 2 - Kennedy Str. 2;1679542,97;5144087,73;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;11007;(Laives) via Kennedy 2 - (Leifers) Kennedy Str. 2;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2288
1107;1107;via Kennedy 2 - Kennedy Str. 2;1679586,505;5144144,398;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;11007;(Laives) via Kennedy 2 - (Leifers) Kennedy Str. 2;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;1;0;2337
1108;1108;via Kennedy 3 - Kennedy Str. 3;1679307,295;5143763,222;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;11008;(Laives) via Kennedy 3 - (Leifers) Kennedy Str. 3;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2289
1109;1109;via Kennedy 3 - Kennedy Str. 3;1679301,32;5143748,27;;;X;X;;;;X;BUS;S;Laives - Leifers;39021040;;;;;11008;(Laives) via Kennedy 3 - (Leifers) Kennedy Str. 3;;;;;;1;Tutto;1;Schutzdach neu;RUECKFAHRT;1;0;0;2336
1110;1110;via Kennedy 4 - Kennedy Str. 4;1679254,706;5143158,235;;;X;X;;X;;X;BUS;S;Laives - Leifers;39021040;;;;;11009;(Laives) via Kennedy 4 - (Leifers) Kennedy Str. 4;;;;;;1;Tutto;1;Schutzdach neu;RUECKFAHRT;2;0;0;2290
1111;1111;via Kennedy 4 - Kennedy Str. 4;1679263,138;5143162,939;;;X;X;;X;;X;BUS;S;Laives - Leifers;39021040;;;;;11009;(Laives) via Kennedy 4 - (Leifers) Kennedy Str. 4;;;;;;1;Tutto;1;Schutzdach neu;RUECKFAHRT;2;0;0;2316
1116;1116;Bronzolo SS12 Raif - Branzoll SS12 Raif;1678511,17;5141464,44;;;X;X;;;;X;BUS;S;Bronzolo - Branzoll;39021012;;;;;13006;(Bronzolo) Bronzolo SS12 Reif - (Branzoll) Branzoll SS12Raif;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;462
1117;1117;Bronzolo SS12 Raif - Branzoll SS12 Raif;1678565,033;5141493,539;;;X;X;;;;X;BUS;S;Bronzolo - Branzoll;39021012;;;;;13006;(Bronzolo) Bronzolo SS12 Reif - (Branzoll) Branzoll SS12Raif;;;;;;1;Tutto;1;Sitzbank;RUECKFAHRT;1;0;0;2297
1125;1125;Ora Paese - Auer Dorf;1676807,19;5135325,1;;;X;X;;;;X;BUS;S;Ora - Auer;39021060;;;;;;;;;;;;;;;;;;;;
1211;1211;Andriano Municipio - Andrian Rathaus;1671315,99;5154236,89;;;X;X;;;;X;BUS;S;Andriano - Andrian;39021002;;;;;MUN A;(Andriano) Municipio - (Andrian) Rathaus;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
1212;1212;Andriano Municipio - Andrian Rathaus;1671288,14;5154281,04;;;X;X;;;;X;BUS;S;Andriano - Andrian;39021002;;;;;MUN A;(Andriano) Municipio - (Andrian) Rathaus;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;
1213;1213;Andriano Lido - Andrian Lido;1671014,12;5154456,41;;;X;X;;;;X;BUS;S;Andriano - Andrian;39021002;;;;;LIDO A;(Andriano) Lido - (Andrian) Lido;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;
1214;1214;Andriano Lido - Andrian Lido;1670885,36;5154490,57;;;X;X;;;;X;BUS;S;Andriano - Andrian;39021002;;;;;LIDO A;(Andriano) Lido - (Andrian) Lido;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
1215;1215;via Andriano (Kaltbrunn) - Andrianerstr. (Kaltbrunn);1669337,7;5155982,77;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;VAND K;(Nalles)via Andriano/Kaltbrunn-(Nals)Andrianerstr./Kaltbrunn;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
1216;1216;via Andriano (Kaltbrunn) - Andrianerstr. (Kaltbrunn);1669353,73;5155963,97;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;VAND K;(Nalles)via Andriano/Kaltbrunn-(Nals)Andrianerstr./Kaltbrunn;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;
1217;1217;via Andriano (Huben) - Andrianerstr. (Huben);1669183,85;5156321,28;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;VAND H;(Nalles) via Andriano/Huben - (Nals) Andrianerstr./Huben;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
1218;1218;via Andriano (Huben) - Andrianerstr. (Huben);1669198,43;5156297,66;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;VAND H;(Nalles) via Andriano/Huben - (Nals) Andrianerstr./Huben;;;;;;1;Tutto;1;Steher;RUCKFAHRT;1;0;0;
1219;1219;Nalles Municipio - Nals Rathaus;1668930,82;5156744,57;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;MUNIC;(Nalles) Municipio - (Nals) Rathaus;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
1220;1220;Nalles Municipio - Nals Rathaus;1668934,08;5156729,99;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;MUNICI;(Nalles) Municipio - (Nals) Rathaus;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
1221;1221;piazza Fontana - Brunnen Platz;1669041,23;5156501,28;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;FONTA;(Nalles) piazza Fontana - (Nals) Brunnen Platz;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;
1222;1222;piazza Fontana - Brunnen Platz;1669047,73;5156484,21;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;FONTA;(Nalles) piazza Fontana - (Nals) Brunnen Platz;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
1223;1223;Vilpiano stazione - Vilpian Bahnhof;1670256,07;5158025,03;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;VILP S;(Terlano) Vilpiano stazione - (Terlan) Vilpian Bahnhof;;;;;;1;Tutto;1;Steher;HIFAHRT;1;0;0;
1225;1225;Bivio Kuenserhof - Abzw. Kuenserhof;1666268,23;5173667,79;;;X;X;;;;X;BUS;S;Rifiano - Riffian;39021073;;;;;38009;(Rifiano) Bivio Kuenserhof - (Riffian) Abzw. Kuenserhof;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;46
1236;1236;Cardano Cimitero - Kardaun Friedhof;1683773,36;5151601,96;;;X;X;;;;X;BUS;S;Cornedo all`Isarco - Karneid;39021023;;;;;CIMIT;(Cornedo) Cardano Cimitero - (Karneid) Cardaun Friedhof;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;
1237;1237;Cardano Cimitero - Kardaun Friedhof;1683797,53;5151605;;;X;X;;;;X;BUS;S;Cornedo all`Isarco - Karneid;39021023;;;;;CIMIT;(Cornedo) Cardano Cimitero - (Karneid) Cardaun Friedhof;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
1238;1238;Cornedo Moar - Karneid Moar;1684780,25;5151220,08;;;X;X;;;;X;BUS;S;Cornedo all`Isarco - Karneid;39021023;;;;;MOAR;(Cornedo) Moar - (Karneid) Moar;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;
1239;1239;Cornedo Moar - Karneid Moar;1684762,42;5151225,61;;;X;X;;;;X;BUS;S;Cornedo all`Isarco - Karneid;39021023;;;;;MOAR;(Cornedo) Moar - (Karneid) Moar;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
1340;1340;via Volta 4 - Volta Str. 4;1678646,79;5150068,01;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;10191;(Bolzano) via Volta 4 - (Bozen) Volta Str. 4;;;;;;1;Tutto;1;;HINFAHRT;;;;
1341;1341;via Volta 4 - Volta Str. 4;1678683,62;5150073,27;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;10191;(Bolzano) via Volta 4 - (Bozen) Volta Str. 4;;;;;;1;Tutto;1;;RUECKFAHRT;;;;
1342;1342;Maso Alto - Oebersthoefe;1666162,75;5177029;;;X;X;;;;X;BUS;S;Rifiano - Riffian;39021073;;;;;38015;(Rifiano) Maso Alto- (Riffian) Obersthoefe;;;;;;1;Tutto;1;;;;;;
1343;1343;Bivio Gaveis/Maso Alto - Abzw. Gfeis/Oebersthoefe;1666091,59;5176447,36;;;X;X;;;;X;BUS;S;Rifiano - Riffian;39021073;;;;;38014;(Rifiano) Gaveis/Maso Alto-(Riffian) Abzw.Gfeis/Obersthoefe;;;;;;1;Tutto;1;;HINFAHRT;;;;
1344;1344;Bivio Gaveis/Maso Alto - Abzw. Gfeis/Oebersthoefe;1666092,48;5176431,72;;;X;X;;;;X;BUS;S;Rifiano - Riffian;39021073;;;;;38014;(Rifiano) Gaveis/Maso Alto-(Riffian) Abzw.Gfeis/Obersthoefe;;;;;;1;Tutto;1;;RUECKFAHRT;;;;
1345;1345;via Caines (Sonngarten) - Kuenserstr. (Sonngarten);1665512,97;5174469,52;;;X;X;;;;X;BUS;S;Caines - Kuens;39021014;;;;;38016;(Rifiano)via Caines,Sonngarten-(Riffian)Kuenserstr,Sonngarte;;;;;;1;Tutto;1;HINFAHRT;Steher;1;0;0;
1346;1346;via Caines (Sonngarten) - Kuenserstr. (Sonngarten);1665528,85;5174476,14;;;X;X;;;;X;BUS;S;Caines - Kuens;39021014;;;;;38016;(Rifiano)via Caines,Sonngarten-(Riffian)Kuenserstr,Sonngarte;;;;;;1;Tutto;1;HINFAHRT;Steher;1;0;0;
1347;1347;Castel Cornedo - Schloss Karneid;1684334,12;5151276,99;;;X;X;;;;X;BUS;S;Cornedo all`Isarco - Karneid;39021023;;;;;CASCOR;(Cornedo) Castel Cornedo - (Karneid) Schloss Karneid;;;;;;1;Tutto;1;;;;;;
1348;1348;Vilpiano Campeggio - Vilpian Campingpl.;1670282,71;5159575,06;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;CAMPEG;(Terlano) Vilpiano, Campeggio - (Terlan) Vilpian Campingpl.;;;;;;1;Tutto;1;Steher;RUECKFAHERT;1;0;0;
1349;1349;Vilpiano Campeggio - Vilpian Campingpl.;1670296,86;5159553,24;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;CAMPEG;(Terlano) Vilpiano, Campeggio - (Terlan) Vilpian Campingpl.;;;;;;1;Tutto;1;Steher;HINFAHERT;1;0;0;
1351;1351;Nalles, Giessen - Nals, Giessen;1669688,83;5157882,09;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;GIESS;(Nalles) Giessen - (Nals) Giessen;;;;;;1;Tutto;1;HINFAHRT;;;;;
1352;1352;Nalles, Giessen - Nals, Giessen;1669710,64;5157855,25;;;X;X;;;;X;BUS;S;Nalles - Nals;39021055;;;;;GIESS;(Nalles) Giessen - (Nals) Giessen;;;;;;1;Tutto;1;HINFAHRT;;;;;
1362;1362;via Fago 4 - Fagen Str. 4;1679341,89;5152936,85;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;10139;(Bolzano) via Fago 4 - (Bozen) Fagen Str. 4;;;;;;1;Tutto;1;;;;;;
1364;1364;Distretto Sanitario - Sozialsprengel;1683567,29;5151788,45;;;X;X;;;;X;BUS;S;Cornedo all`Isarco - Karneid;39021023;;;;;DSANIT;(Cornedo) Distretto Sanitario - (Karneid) Sozialsprengel;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
1409;1409;S. Caterina Paese - St. Kathrein Dorf;1669141,9;5168382,72;;;X;X;;X;;X;BUS;S;Avelengo - Hafling;39021005;;;;;CATERI;(Avelengo) S. Caterina Paese -  (Hafling) St. Katrein Dorf;;;;;;1;Tutto;1;;;;;;
1412;1412;Moar Wiese (Viktoria) - Moar Wiese (Viktoria);1669510,44;5168890,65;;;X;X;;X;;X;BUS;S;Avelengo - Hafling;39021005;;;;;VIKTOR;(Avelengo) Viktoria - (Hafling) Viktoria;;;;;;1;Tutto;1;;;;;;
1413;1413;Avelengo di Sopra (Sonnenheim) - Oberdorf (Sonnenheim);1669929,1;5169122,66;;;X;X;;X;;X;BUS;S;Avelengo - Hafling;39021005;;;;;SONNEN;(Avelengo) Sonnenheim - (Hafling) Sonnenheim;;;;;;1;Tutto;1;;;;;;
1414;1414;Avelengo Municipio - Hafling Rathaus;1670277,11;5168265,29;;;X;X;;;;X;BUS;S;Avelengo - Hafling;39021005;;;;;AVE MU;(Avelengo) Municipio - (Hafling) Rathaus;;;;;;1;Tutto;1;;;;;;
1415;1415;Avelengo (Ganthaler) - Hafling (Gantahler);1670626,55;5168312,07;;;X;X;;;;X;BUS;S;Avelengo - Hafling;39021005;;;;;GANTHA;(Avelengo) Ganthaler - (Hafling) Ganthaler;;;;;;1;Tutto;1;;;;;;
1416;1416;Avelengo (Brunnerhof) - Hafling (Brunnerhof);1670911,55;5167723,95;;;X;X;;X;;X;BUS;S;Avelengo - Hafling;39021005;;;;;BUNNER;(Avelengo) Brunnerhof - (Hafling) Brunnerhof;;;;;;1;Tutto;1;;;;;;
1489;1489;Acquaviva - Ackpfeil;1665504,54;5161631,87;;;X;X;;;;X;BUS;S;Lana - Lana;39021041;;;;;ACQUA;(Lana) Acquaviva - (Lana) Ackpfeil;;;;;;1;Tutto;1;RUECKFAHRT;Steher;1;;;
1833;1833;Gragazzone Comune - Gargazon Gemeinde;1668706,48;5161407,56;;;X;X;;;;X;BUS;S;Gargazzone - Gargazon;39021035;;;;;GARGPA;(Gargazzone) Comune - (Gargazon) Gemeinde;;;;;;1;Tutto;1;HINFAHRT;Steher;1;0;0;
1834;1834;via del Sole - Sonnenstr.;1671713,26;5154356,83;;;X;X;;;;X;BUS;S;Andriano - Andrian;39021002;;;;;SOLE;(Andriano) via del Sole - (Andrian) Sonnenstr.;;;;;;1;Tutto;1;HINFAHRT;Steher;1;0;0;
1891;1891;via Weingartner usc. MeBo-Weingartnerstr. Ausf. MeBo;1662410,37;5171704,87;;;X;X;;;;X;BUS;S;Lagundo - Algund;39021038;;;;;MEBO;(Merano) via Weingartner MeBo - (Meran) Weingartnerstr. MeBo;;;;;;1;Tutto;1;;;;;;
1892;1892;via Weingartner usc. MeBo-Weingartnerstr. Ausf. MeBo;1662529,05;5171714,45;;;X;X;;;;X;BUS;S;Lagundo - Algund;39021038;;;;;MEBO;(Merano) via Weingartner MeBo - (Meran) Weingartnerstr. MeBo;;;;;;1;Tutto;1;;;;;;
1909;1909;via Milano 3A - Mailandstr. 3A;1678357,48;5151197,38;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;MILA3A;(Bolzano) via Milano 3A - (Bozen) Mailandstr. 3A;;;;;;1;Tutto;1;;;;;;
1910;1910;via Milano 3A - Mailandstr. 3A;1678390,76;5151187,82;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;MILA3A;(Bolzano) via Milano 3A - (Bozen) Mailandstr. 3A;;;;;;1;Tutto;1;;;;;;
1964;1964;via Siemens 3 - Siemens Str. 3;1678658,29;5150189,04;;;X;X;;;;X;BUS;S;Bolzano - Bozen;39021008;;;;;SIEM3;(Bolzano) via Siemens 3 - (Bozen) Siemens Str. 3;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;
1972;1972;Tel Stazione - Toell Bahnhof;1659265,33;5170955,63;;;X;X;;;;X;BUS;S;Parcines - Partschins;39021062;;;;;TSTAZ;(Pacines) Tel Stazione - (Partschins) Toell Bahnhof;;;;;;1;Tutto;1;;;;;;
2;2;via delle Corse - Rennweg;1665209,14;5171010,26;;;X;X;;X;;X;BUS;S;Merano - Meran;39021051;;;;;CORSE;(Merano) via delle Corse - (Meran) Rennweg;;;;;;1;Tutto;1;Sitzbank;RUECKFAHRT;1;0;0;1
2006;2006;Steurerweg - Steurerweg;1675043,88;5153070,54;;;X;X;;;;X;BUS;S;Terlano - Terlan;39021097;;;;;STEUER;(Terlano) Steurerweg - (Terlan) Steurerweg;;;;;;1;Tutto;1;;;;;;
